2012-12-21 14:00:50;16.5;3800;5.4
2012-12-21 14:01:00;16.5;3900;5.8
2012-12-21 14:01:10;16.5;3900;5.6
2012-12-21 14:01:20;16.5;3900;5.6
2012-12-21 14:01:30;16.5;3900;5.4
2012-12-21 14:01:40;16.5;3900;6
2012-12-21 14:01:50;16.5;3900;6
2012-12-21 14:02:00;16.5;3900;5.4
2012-12-21 14:02:10;16.5;3800;5.6
2012-12-21 14:02:20;16.5;3900;6
2012-12-21 14:02:30;16.5;3900;5.6
2012-12-21 14:02:40;16.5;3850;5.6
2012-12-21 14:02:50;16.5;3850;5.4
2012-12-21 14:03:00;16.5;3900;5.8
2012-12-21 14:03:10;16.5;3900;5.8
2012-12-21 14:03:20;16.5;3900;6
2012-12-21 14:03:30;16.5;3850;5.6
2012-12-21 14:03:40;16.5;3900;6
2012-12-21 14:03:50;16.5;3900;5.8
2012-12-21 14:04:00;16.5;3900;5.8
2012-12-21 14:04:10;16.5;3900;5.4
2012-12-21 14:04:20;16.5;3900;5.6
2012-12-21 14:04:30;16.5;3900;6
2012-12-21 14:04:40;16.5;3900;5.6
2012-12-21 14:04:50;16.5;3900;5.8
2012-12-21 14:05:00;16.5;3900;6
