2012-12-21 14:00:50;0.00;0.00;0.00;0.00;14.36;14.79;0.00;0.00
2012-12-21 14:01:00;0.00;0.00;0.00;0.00;14.15;15.64;0.00;0.00
2012-12-21 14:01:10;0.00;0.00;0.00;0.00;14.79;15.00;0.00;0.00
2012-12-21 14:01:20;0.00;0.00;0.00;0.00;14.04;15.53;0.00;0.00
2012-12-21 14:01:30;0.00;0.00;0.00;0.00;14.68;15.11;0.00;0.00
2012-12-21 14:01:40;0.00;0.00;0.00;0.00;13.94;15.74;0.00;0.00
2012-12-21 14:01:50;0.00;0.00;0.00;0.00;14.36;15.00;0.00;0.00
2012-12-21 14:02:00;0.00;0.00;0.00;0.00;14.47;15.43;0.00;0.00
2012-12-21 14:02:10;0.00;0.00;0.00;0.00;14.26;15.32;0.00;0.00
2012-12-21 14:02:20;0.00;0.00;0.00;0.00;14.68;15.32;0.00;0.00
2012-12-21 14:02:30;0.00;0.00;0.00;0.00;13.51;15.64;0.00;0.00
2012-12-21 14:02:40;0.00;0.00;0.00;0.00;14.57;15.11;0.00;0.00
2012-12-21 14:02:50;0.00;0.00;0.00;0.00;13.94;15.43;0.00;0.00
2012-12-21 14:03:00;0.00;0.00;0.00;0.00;14.36;15.21;0.00;0.00
2012-12-21 14:03:10;0.00;0.00;0.00;0.00;14.57;15.74;0.00;0.00
2012-12-21 14:03:20;0.00;0.00;0.00;0.00;14.47;15.11;0.00;0.00
2012-12-21 14:03:30;0.00;0.00;0.00;0.00;14.79;15.11;0.00;0.00
2012-12-21 14:03:40;0.00;0.00;0.00;0.00;14.79;15.43;0.00;0.00
2012-12-21 14:03:50;0.00;0.00;0.00;0.00;15.32;15.32;0.00;0.00
2012-12-21 14:04:00;0.00;0.00;0.00;0.00;14.57;15.32;0.00;0.00
2012-12-21 14:04:10;0.00;0.00;0.00;0.00;13.51;15.64;0.00;0.00
2012-12-21 14:04:20;0.00;0.00;0.00;0.00;15.00;15.00;0.00;0.00
2012-12-21 14:04:30;0.00;0.00;0.00;0.00;15.00;14.79;0.00;0.00
2012-12-21 14:04:40;0.00;0.00;0.00;0.00;14.04;14.89;0.00;0.00
2012-12-21 14:04:50;0.00;0.00;0.00;0.00;14.57;15.32;0.00;0.00
2012-12-21 14:05:00;0.00;0.00;0.00;0.00;14.04;15.11;0.00;0.00
